English,Chinese
I don't get what you mean.,我不明白你的意思。
I don't get what you mean.,我不理解你的意思。
What's become of your dog?,你的狗怎麼了？
Your conclusion is highly arguable.,你的结论具有高度争议性。
"You can go or stay, as you wish.",你走或留，随你高兴。
Your plan seems better than mine.,你的計劃似乎比我的好。
I approve of your plan.,我贊成你的計劃。
Your shoes do not go with the suit.,你的鞋子和衣服不合襯。
Your shoes are here. Where are mine?,你的鞋子在这儿。我的呢？
Your shoes are here.,你的鞋在这儿。
I think your basic theory is wrong.,我認為你的基本理論是錯的。
Your eyes remind me of stars.,你的眼睛让我想到了星星。
That is no business of yours.,这不关你的事。
Where is your school?,你的學校在哪裏？
How many pupils are there in your school?,你的學校有多少個學生？
I wish I could live near your house.,我希望住在你家附近。
Let's discuss your love problems on the way back from school.,從學校回來的路上讓我們來討論你的愛情問題。
Can I use your pencil?,我可以用你的鉛筆嗎？
Your English is improving.,你的英語正在進步。
Your English has improved a lot.,你的英語進步了很多。
I'm amazed at your fluency in English.,你流利的英语让我很吃惊。
I want your opinion.,我想要聽聽你的意見。
Your opinion is similar to mine.,你的意見跟我的相似。
Your opinion is very constructive.,你的想法很有建设性。
I agree with some of your opinions.,我同意你一部分的意见。
I'll study your report.,我會研究你的報告。
Your method is different from mine.,你的方法和我的不一樣。
You're on the right track.,你的想法是對的。
You're on the right track.,你在正確的軌道上。
Your time is up.,你的時間到了。
I'll give you anything that you want.,我會給你任何你想要的東西。
I'll give you anything that you want.,我會給你任何你想要東西。
Can I use your pen?,我可以用你的筆嗎？
Your pen is better than mine.,你的笔比我的好。
Your plan sounds great.,你的計劃聽起來很不錯。
Your tie has come undone.,你的領帶鬆了。
Your dress is very nice.,你的穿著非常好。
I'll come to your place.,我會來你的地方。
I am ready to do anything for you.,我甘心为你做任何事。
I will do anything for you.,我會為你做任何事。
What's the weight of your suitcase?,你的行李多重？
Your shirt button is coming off.,你衬衣的纽扣快掉了。
We are worried about you.,我们很担心你。
I have absolute trust in you.,我絕對信任你。
What are you fond of?,你喜欢什么？
Your cake is delicious.,您的蛋糕很美味。
Your cake is delicious.,你的蛋糕很美味。
How many are there in your class?,你班裏有多少人？
Your camera is only half the size of mine.,你的照相機只有我那台的一半大小。
Here is your bag.,你的袋子在這裡。
I took your umbrella by mistake.,我错拿了你的雨伞。
You'll get into trouble if your girlfriend finds out the truth.,如果你女朋友发现真相的话，你会有麻烦的。
Your mother is in critical condition.,你母親現在情況危殆。
Your mother must have been beautiful when she was young.,你母親年輕的時候一定很美。
I'd like to see your father.,我想去看你的父親。
Your sister looks as noble as if she were a princess.,你妹妹看上去那么高贵，就像是个公主一样。
What does your aunt do?,你姑姑是做什麼的？
Where does your uncle live?,你叔叔住在什麼地方？
I have no idea what you mean.,我不明白你想說甚麼。
I have no idea what you mean.,我不明白你的意思是甚麼。
I believe you.,我相信你。
I don't agree with you.,我不同意你的看法。
I have something to tell you.,我有事要告訴你。
I have some good news for you.,我有好消息要告訴你。
I will find you a good doctor.,我會幫你找個好醫生。
I want you to read this book.,我想你讀一讀這本書。
I want you to read this book.,我想让你读这本书。
I feel for you.,我同情你。
I refuse to be treated like a slave by you.,我拒绝被你像奴隶一样对待。
Your telegram arrived just as I was about to telephone you.,我正想打電話給你，你的電報就送來了。
You are wanted on the phone.,有你的電話。
I'll lend it to you.,我會借給你的。
I'll lend it to you.,我会借给你们的。
I'll make you a new suit.,我會給你做一套新衣服。
Who is that girl waving to you?,那個向你招手的女孩是誰？
I'll teach you how to drive a car.,我会教你怎么开车。
I'll lend you my notebook.,我會借給你我的筆記本。
I want you to go.,我要你去。
I wanted to show it to you.,我想把它給你看。
I'm very glad to see you.,我很高興見到你。
I am looking forward to seeing you.,我期待見到你。
How I've missed you!,我多麼想念你！
I want you to work harder.,我希望你更加努力地工作。
I want to see you again.,我希望再次見到你。
You have a bright future.,你有光明的未来。
You have many caring friends.,你身邊有很多關心你的朋友。
I expect you to be punctual.,我期待你能準時。
I can't lie to you.,我無能對你說謊。
You make me feel so guilty.,你讓我感到很內疚。
You have the advantage of a good education.,你受過良好教育，這是你的優勢。
I expect you to work harder.,我希望你更加努力地工作。
You are hopeless.,你没有希望。
You deserve the prize.,你應該得到這個獎金。
Green suits you.,綠色適合你。
I can't thank you enough.,我無法表達我對你的感謝。
I can't thank you enough.,感激不盡。
All you can do is to wait.,所有你能做的就是等待。
I can't keep up with you.,我無法跟上你。
I have a very sore arm where you hit me.,你打在我手臂上的地方超级痛。
How can you say that?,你怎麼能那麼說？
You should have seen it.,您本應該看看它的。
Didn't I tell you so?,我不是告訴過你了嗎？
I'm anxious to see you.,我渴望見到你。
I'll give you this pendant.,我會給你這個墜飾。
I'll give you this camera.,我會給你這台相機。
I'll give you this money.,我會給你這筆錢。
Let me give you some advice.,讓我給你一些建議。
I'll treat you.,我請你。
I owe you ten dollars.,我欠你10美元。
You deserve to succeed.,你的成功是应得的。
I can't think of life without you.,我無法想像沒有你的生活。
I have no more time to talk with you.,我没时间再跟你说话了。
You and I are good friends.,你和我是好朋友。
You and I are the same age.,你和我同龄。
"I, as well as you, was late for school yesterday.",我跟你一样昨天上学迟到了。
If only I could speak English as fluently as you!,如果我說英語能說得跟你一樣流利的話就好了!
"I'd like to go with you, but as it is I can't.","我很想跟你一起去, 但重點是我不能去。"
I wish I could go to the party with you.,我希望我能和你一起参加派对。
I would like to go to the concert with you.,我想和你一起去音乐会。
I would prefer to speak to you in private.,我想和你單獨談談。
You really are hopeless.,你真的是一點希望也沒有。
You two are the nucleus of the team.,你們倆是團隊的核心。
How old will you be next year?,明年你会是几岁？
You had better not start until they arrive.,你最好不要在他們來之前開始。
You didn't need to hurry.,你不需要著急。
All of you did good work.,你們所有的人都做得很好。
You should try to be more polite.,你應該試著更有禮貌。
You must start at once.,你必须马上开始。
It is imperative for you to act at once.,你必须马上行动。
It is imperative for you to act at once.,您必须马上行动。
Are you students at this school?,你是這所學校的學生嗎？
You should know what to read.,你应当知道要读什么。
Compare your sentence with the one on the blackboard.,比較一下你寫的句子和黑板上的句子。
Who is your teacher?,谁是你老师？
Who is your teacher?,谁是你的老师？
I don't approve your decision.,我不同意你的決定。
Your team is stronger than ours.,你們的隊伍比我們的強。
"Boys, don't make any noise.",男孩們，不要製造任何噪音。
He as well as you likes baseball.,他跟你一样喜欢棒球。
"Not only are you wrong, but I am wrong too.",錯的不只是你，我自己也錯了。
We are both to blame.,不光是你，我也有错。
We are both to blame.,不只是你，就連我也該受責難。
Only you answered the question.,只有你回答了这个问题。
You're the only one who can do it.,只有你才做得到。
You are the man I've been looking for.,你就是我一直要找的人。
You're the best man for the job.,你是做這份工作最好的人選。
You're the best man for the job.,你是最適合做這份工作的人。
I hadn't recognized the importance of this document until you told me about it.,你告訴了我以後，我才知道這份文件有多重要。
It's a pity that you can't come.,很遗憾你们不能来。
"As long as you are here, we might as well begin.","既然你在這裡, 那我們就開始吧。"
What is it that you want?,你想要什麼?
I want you.,我想要你。
That you don't believe me is a great pity.,很遺憾你不相信我。
The information you gave me is of little use.,你給我的資料沒有多大的用處。
You or I will be chosen.,你或者我会被选中。
"If you're busy, I'll help you.",如果你忙，我會幫你。
I need you.,我需要你。
You did well to keep the secret.,你很好地守住了秘密。
I don't know whether you like her or not.,我不知道你喜不喜歡她。
Does he know that you love him?,他知道你愛他嗎?
It was foolish of you to accept his offer.,你真笨去接受他的提議。
Whatever you said to him made him feel better.,你對他說的話讓他感覺好多了。
I cannot approve of your going out with him.,我不能讓你和他出去。
Show me what you bought.,让我看一下你买的东西。
I saw you with a tall boy.,我看見你和一個個子高的男孩在一起。
I saw you with a tall boy.,我看见你和一个高个子男孩在一起。
He is no more foolish than you are.,你们俩都不傻。
It's a pity that you should leave Japan.,你要离开日本真是个遗憾。
I am going to do it whether you agree or not.,不管你同意还是不同意，我还是要做。
I am going to do it whether you agree or not.,不管你同不同意，我都要做。
"I don't object to your going out to work, but who will look after the children?",我并不反对你出去工作，可是小孩靠谁来照看呢？
You have good reason to be angry.,你有充分的理由生氣。
We were just talking about you when you called.,"當你打電話來時, 我們正在談論你。"
It is a pity that you can't join us.,你不能和我們一起來真可惜。
You had better not wake me up when you come in.,你进来的时候最好不要把我弄醒。
I hope that you will get well soon.,我希望您快就会好起来。
I hope that you will get well soon.,祝你早日康复。
I don't care whichever you choose.,您选哪个我无所谓。
I guess you are right.,我猜你是對的。
Do what you think is right.,做你認為正確的事。
Whether you will succeed or not depends on your efforts.,爱拼才会赢。
I am glad that you have succeeded.,我很高兴你们成功了。
He came after you left.,你走了他才來。
Who took care of the dog while you were away?,你不在的時候誰照看狗？
The reason why you failed is you did not try hard enough.,因為你不夠努力，所以才會失敗。
You should talk to the teacher yourself.,你應該自己跟老師說。
I love you more than you love me.,我爱你胜过你爱我。
I love you more than you love me.,我愛你多於你愛我。
I wish you could come with us.,但願你可以跟我們一起來。
"With your approval, I would like to offer him the job.","如果您同意, 我想給他這份工作。"
Nothing is so tasty as the dish you make.,沒有甚麼比你做的菜更好吃了。
Choose the color you like the best.,選你最喜歡的顏色。
You don't need to go unless you want to.,你不想去的話不必去。
"If you don't go, I won't, either.",如果你不去，那我也不會去。
You don't have to go unless you want to.,你不想去就别去。
I don't care as long as you are happy.,只要你开心就行了。
I know you are rich.,我知道你很有钱。
You can't be hungry. You've just had dinner.,你剛剛才吃過晚飯，不可能餓得這麼快的。
Be sure to put out the fire before you leave.,一定要熄了火，然后再离开。
I'll stay here till you get back.,我會待在這裡直到你回來。
The money you give them will be put to good use.,你给他们的钱会用到好处。
It's clear that you're wrong.,很明顯地你錯了。
I do not for a moment think you are wrong.,我从没认为你错了。
You shouldn't have paid the bill.,你本來不應該付賬的。
I wish you were close to me.,我希望你在我身边。
I was about to leave when you telephoned.,你打來的時候我正準備出門。
I'm looking forward to hearing from you.,我期待收到您的來信。
You can do whatever you want to.,你可以做任何你想做的事。
Is it true that you are going to Paris?,你真的要去巴黎嗎？
Try to estimate how much you spent on books.,算一算你花了多少錢買書。
"How can I feel relaxed, with you watching me like that?",你那么看着我，我哪里放松得下来啊？
It's absurd of you to do that.,你那么做真是太过荒谬了.
It's absurd of you to do that.,您这么做很荒唐。
It is absurd of you to do that.,你那么做真是太过荒谬了.
It makes little difference to me whether you believe it or not.,你相信也好，不相信也好，對我來說沒有甚麼分別。
The day will come when you will realize it.,有一天你会意识到它。
The time will come when you'll regret it.,你終有一天會後悔的。
I'm glad you liked it.,我很开心你喜欢。
The time will come when you will be sorry for it.,你一定會後悔的。
I don't blame you.,我不怪你。
I don't blame you for doing that.,我不怪你那樣做。
We will pay you according to the amount of work you do.,我們會按照你的工作量付錢給你。
Your conduct is absolutely shameful.,你的行為是絕對可恥的。
It's a pity that you couldn't come.,很遺憾你不能來。
It is out of the question for you to go to New York this weekend.,這個週末去紐約對你來說是不可能的事。
"As long as you're here, I'll stay.",只要你在這兒，我就會留下來。
My life would be completely empty without you.,如果沒有你，我的人生就會變得空白一片。
You'll be missed by your friends.,您的朋友会想您的。
We shall all miss you when you go away.,你走了，我们都会想你的。
I miss you badly.,我非常想你。
I miss you very much.,我很掛念你。
I miss you very much.,我非常想你。
We all miss you very much.,我们都非常想你。
You may stay here as long as you like.,你想在这儿待多久就待多久。
You may stay here as long as you like.,你愿意在这里呆多久就呆多久。
You may stay here as long as you like.,你要在这里呆多久就呆多久
You may stay here as long as you like.,你想在这里呆多久就呆多久。
You walk too fast for me to keep up with you.,你走得太快我跟不上。
Here is a letter for you.,这是你的信。
Here is a letter for you.,這封信是給你的。
Here is a letter for you.,这儿有你的一封信。
Have you ever seen Mt. Fuji? It is beautiful beyond description.,你看過富士山嗎? 它美得無法形容。
What time will you leave?,你什麼時候離開？
What time will you leave?,你什么时候离开？
You don't understand.,你不了解。
You don't understand.,你不懂。
You don't understand.,你不明白。
You come here.,你来这里。
Chestnuts have to be boiled for at least fifteen minutes.,栗子至少要煮15分钟。
No one noticed the bear's appearance.,誰也沒注意到熊的出現。
"Take off your socks, please.",請脫下你的襪子。
Are my socks dry already?,我的襪子已經乾了嗎？
There is a hole in your sock.,你的袜子上有个洞。
There is a hole in your sock.,你的袜子破了一个洞呀。
Put on your shoes. Let's go out for dinner.,穿上你的鞋，我们出去吃晚饭。
Please put on your shoes.,請穿上你的鞋子。
Please take off your shoes.,請脫掉你的鞋子。
I bought a pair of shoes.,我買了一雙鞋子。
Shoes are sold in pairs.,鞋子是一對一對的賣的。
Where're the shoes?,鞋子在哪儿？
Tie your shoelaces.,系上鞋带。
What size shoes do you wear?,你穿幾號的鞋子?
These shoes are too tight. They hurt.,这些鞋子太紧了，伤脚。
What a coincidence!,真是个巧合！
I found the book by accident.,我偶然發現了那本書。
I found that restaurant by accident.,我偶然发现了那家餐馆。
"Even times odd is even, odd times odd is odd.",偶数乘以奇数是偶数，奇数乘以奇数是奇数。
The sky looks angry.,天空风云骤起。
"Judging from the look of the sky, it may rain this afternoon.",從天色上判斷，今天下午可能會下雨。
"Judging from the look of the sky, it is likely to rain.",看看天的样子，要下雨了。
I felt hungry.,我饿了！
Hunger is the best sauce.,饑餓是最好的調味品。
Hunger is the best sauce.,对于一个饥饿的人来说，任何食物都是美味。
He cannot be hungry; he has just had lunch.,他剛剛才吃完午飯，不可能會肚子餓。
Our house was robbed while we were away.,我们走开的时候，房子被盗窃了。
Fill in the blanks with suitable words.,請在空格上填上適當的字詞。
I'll drive you to the airport.,我会开车送你去机场。
I'll drive you to the airport.,我会开车送你们去机场。
I'll drive you to the airport.,我載你去機場吖。
How far is it to the airport?,到机场有多远？
I'll accompany you to the airport.,我陪你去機場吧。
Please tell me how to get to the airport.,請你告訴我機場怎麼去。
I went to the airport by taxi.,我搭計程車去的機場。
Where do I get an airport bus?,我能在哪里乘上机场巴士？
How long does the airport bus take to the airport?,乘机场大巴去机场要多久？
The airport is close at hand.,機場很近。
I'll phone you as soon as I get to the airport.,我一到了機場就打電話給你。
I have to go to the airport to meet my family.,我要去機場迎接我的家人。
Please pick me up at the airport at five.,請於五點鐘到機場接我。
We saw her off at the airport.,我们在机场为她送行。
How far is it from the airport to the hotel?,從機場到旅館多遠？
To live without air is impossible.,沒有空氣生活是不可能的。
Tiny particles in the air can cause cancer.,空气中的微粒可以引发癌症。
"Because of the problem of air pollution, the bicycle may some day replace the automobile.",因為空氣汙染的問題，也許有一天自行車會取代汽車。
Air is invisible.,空气是无形的。
Air is a mixture of gases.,空气是气体的混合物。
Air is a mixture of various gases.,空氣是由許多種氣體組成的混合物。
Air is indispensable to life.,空氣是生命中不可或缺的。
Air quality has deteriorated these past few years.,这些年空气质量恶化了。
Both air and water are indispensable for life.,沒有空氣和水，人類就無法生存。
Without air there can be no wind or sound on the moon.,月球表面沒有空氣，所以沒有風，也沒有聲音。
The sky is blue.,天空是蓝色的。
The sky is blue.,天空是藍色的。
The sky is full of stars.,天空中繁星点点。
The sky is full of stars.,天空布满星辰。
The sky grew darker and darker.,天空变得越来越暗了。
The sky was ablaze with fireworks.,天空被焰火点亮。
The sky was completely dark.,天空完全变黑了。
The sky is clear almost every day.,天空幾乎每天是晴朗的。
The sky became darker and darker.,天空变得越来越暗了。
I want a few empty glasses.,我要一些空的玻璃杯。
The clouds floating in the sky are beautiful.,天空飘的云很美。
Were there any stars in the sky?,當時天上有星星嗎？
I saw something strange in the sky.,我看见天上有奇怪的东西。
There wasn't a cloud in the sky.,天上没有一片云。
Countless stars were twinkling in the sky.,无数星星在天上闪烁。
There are billions of stars in the sky.,天空中有數十億的星星。
There isn't a single cloud in the sky.,天上没有一片云。
There isn't a single cloud in the sky.,天上一朵雲也沒有。
Not a single cloud could be seen in the sky.,天上萬里無雲。
There was not a cloud in the sky.,天上没有一片云。
There is a mass of dark clouds in the sky.,空中有一大片乌云。
You can see a lot of stars in the sky.,你能看到天空中的繁星。
"We have three spare rooms, none of which can be used.",虽然有三间空屋，但哪间都用不了。
Do you know the reason why the sky looks blue?,你知道为什么天看起来这么蓝吗？
"Seen from the sky, the river looked like a huge snake.",从天上看下来，这条河像一条巨蛇。
The sky has gradually clouded over.,烏雲逐漸佈滿了整個天空。
Stop grumbling.,停止发牢骚吧。
A fool's bolt is soon shot.,蠢人一下子就把箭射完。
A fool and his money are soon parted.,笨蛋難聚財。
You've acted foolishly and you will pay for it.,你愚蠢地行事，你会付出代价。
Are you feeling under the weather?,你感觉不舒服吗？
Take this medicine in case you get sick.,万一你生病了，吃这个药。
"No pain, no gain.",一分耕耘，一分收穫。
"No pain, no gain.",苦盡甘来。
"No pain, no gain.",一分耕耘，一分收获。
"No cross, no crown.",沒有困難就沒有成功。
"Danger past, God forgotten.",过河拆桥。
No sweet without sweat.,一分耕耘，一分收穫。
No sweet without sweat.,苦盡甘来。
No sweet without sweat.,一分耕耘，一分收获。
I make it a rule not to watch television after nine o'clock.,我规定自己在九点之后不看电视。
Open your book to page nine.,打開你的書到第九頁。
Open your book to page nine.,翻開你的書到第九頁。
We will make the payment by bank transfer.,我们会用银行转帐付款。
Bank robbery will cost you ten years in prison.,搶劫銀行的後果就是在監獄裏蹲十年。
Banks charge higher interest on loans to risky customers.,银行对风险客户收取较高的贷款利息。
Is the bank open?,銀行開著嗎？
Banks open at nine o'clock.,银行九点开门。
Banks open at nine o'clock.,銀行九點開門
I ran across an old friend near the bank.,我在银行附近碰见老朋友。
Some people do not like to deposit their money in banks.,有些人不喜欢把钱存银行。
Please go to the bank.,請去銀行。
"I made a deposit of $1,000 at the bank.",我在银行存了1000美金。
Do you have any idea when the bank closes?,你知道银行什么时候关门吗？
Can you distinguish silver from tin?,你能分辨銀和錫嗎?
I need to know your answer by Friday.,我需要星期五之前知道你的答案。
Every Friday night they went and got liquored up.,他們星期五每晚都去喝酒。
Are you free on Friday afternoon?,你星期五下午有空嗎？
Are you free on Friday afternoon?,礼拜五下午有空吗？
We ran short of money.,我们缺钱了。
Kanazawa is a quiet city.,金泽市是个安静的城市。
Money is the root of all evil.,金錢是一切罪惡之源。
The rich are apt to look down upon the poor.,富人往往瞧不起穷人。
The rich sometimes despise the poor.,富人有时会看不起穷人。
"If I get rich, I will buy it.",等我有錢了，我就買它。
I prefer being poor to being rich.,我更愿意贫穷而不是富裕。
Do you want to be rich?,你想致富嗎？
I wish I were rich.,但願我很有錢。
He is rich yet he lives like a beggar.,他很富有，但活得像个乞丐。
The rich are not always happier than the poor.,有钱人未必比穷人幸福。
The papers that were in the safe are gone.,放在保險箱裏面的文件不見了。
I should have taken the money.,我應該拿那些錢的。
Lend me some money if you have any.,你有钱的话，借我一些。
Making money is his religion.,挣钱是他的宗教。
Health is better than wealth.,健康勝過財富。
"No money, no job, no friends. He was truly at loose ends.",没钱，没工作，没朋友，他真是无所适从。
Money does not grow on trees.,錢不會從樹上長出來。
I will give you the money tomorrow.,我明天會付錢給你。
I will give you the money tomorrow.,我明天會給你錢。
Gold is heavier than iron.,黄金比铁重。
Money ruins many.,人為財死，鳥為食亡。
Gold is far heavier than water.,金子比水重得多。
The money was hidden beneath the floorboards.,那些錢藏了在地板下面。
Gold is similar in color to brass.,金的顏色和黃銅很相似。
I have a little money.,我有一些錢。
Keep the money in a safe place.,把錢保存在安全的地方。
"I have no money, but I have dreams.",我沒有錢，但是我有夢想。
There is a lot of money.,有很多錢。
I feel the want of money.,我覺得我沒錢了。
The price of gold varies from day to day.,金價每天都在變動。
I have no money on me.,我身上没有钱。
The price of gold fluctuates daily.,黃金的價格每天波動。
I am short of money.,我缺钱。
Money is the last thing he wants.,钱是他想要的最后的东西。
Money cannot buy happiness.,钱买不到幸福。
It goes without saying that money cannot buy happiness.,不言自明，金钱买不到幸福。
Money can't buy happiness.,钱买不到幸福。
Too much money?,钱太多了吗？
Money talks.,金钱万能。
Money is not everything.,钱不是万能的。
Some of the money was stolen.,一部分的錢被偷走了。
Some of the money was stolen.,一部分钱被偷了。
Many local traditions have fallen into decay in recent years.,近几年，很多当地的传统都衰败了。
"In recent years, science has made remarkable progress.",这几年，科学取得了显著的进步。
Modern travel enables us to go around the world in a few days.,现代交通使我们能在几天内环绕地球。
Take a short cut.,走捷徑。
The art of modern warfare does not necessarily require soldiers to be armed to the teeth to be effective as combatants.,現代戰術並無指明士兵必須全副武裝上陣才能發揮其最大的戰鬥力。
The whole neighborhood was surprised at the news.,整个小区对这个消息很惊讶。
I have seen much of him lately.,我最近老是見到他。
The recent frequency of earthquakes makes us nervous.,最近频繁的地震让我们很焦虑。
How are you getting along these days?,你最近怎樣？
How are you getting along these days?,最近过得怎样？
I have not heard from her recently.,我最近沒有收到她的信。
There is a hospital nearby.,附近有一家医院。
"Although her house is nearby, I seldom see her.",雖然我住在她家附近，可是也很少見到她。
Are there any movie theaters near here?,這裏附近有沒有電影院？
There is a bus stop near by.,附近有个车站。
I'm looking forward to hearing from you soon.,我期待您的消息。
"In the near future, we may have a big earthquake in Japan.",在不久的将来，可能有一场大地震将在日本发生。
These problems will be solved in the near future.,在不久的將來這些問題都會迎刃而解。
I'll get in touch with you soon.,我會很快跟你聯絡。
I am looking forward to hearing from you soon.,我期待很快就能收到你的信。
I am looking forward to hearing from you soon.,我期待您的消息。
I'll come and see you one of these days.,这些天我会抽一天来看你的。
"In case of emergency, call 119.",在緊急情況下，可撥打 119。
"In case of an emergency, get in touch with my agent.",万一有紧急情况，联系我的代理人。
"In case of emergency, call the police.",在緊急情況下，打電話報警。
"In case of an emergency, get in touch with my agent right away.",如遇情况紧急，请立即联系我的代理。
I would like to sit in the non-smoking section.,我想坐在无烟区。
Do you have a non-smoking section?,你們有非吸煙區嗎？
It is difficult to give up smoking.,戒煙很難。
It is difficult to give up smoking.,戒烟难。
The workers complained when their working hours were extended.,当工作时间被延长时，工人们忍不住开口抱怨起来。
She became rich by virtue of hard work and good business sense.,她憑著努力和生意頭腦成了富翁。
Slight inattention can cause a great disaster.,失之毫厘，谬之千里。
Don't go to extremes.,别走极端。
"He does not, in short, write with the candor of a man who is completely confident of his thesis.",簡單來說，他的文筆並沒有流露出那種對自己的論文充滿信心的人應有的直率和坦誠。
I'm glad we didn't go there because there were some localized heavy rain showers.,我很庆幸我们没有去那儿，因为当时那儿有局部大暴雨。
"To my astonishment, my money was gone.",令我惊讶的是，我的钱没了。
The vase on my desk overturned when I jumped up in surprise.,我突然跳起来的时候把花瓶桌子上的打翻了。
"To my surprise, there were no people in the village.",奇怪的是，村子裏竟然一個人也沒有。
What a surprise!,太惊喜了!
"To my surprise, the door was unlocked.",令我驚訝的是，門沒上鎖。
"To my surprise, he easily came up with a plan.",令我吃惊的是，他很容易就想出了一个方案。
"To my surprise, he had a beautiful voice.",他的歌聲出乎意料之外地好聽。
Don't break a mirror.,别打碎镜子。
In nostalgic moments we may tend to think of childhood as a time of almost unbroken happiness.,在懷念舊日時光的時刻，我們可能往往想起童年像是有著幾乎完整幸福的一段時期。
"He is not just interested, he's crazy about it.",他不仅是对这个有兴趣，并相当热衷。
The excitement reached its peak.,兴奋到了极点。
I was so excited that I could not fall asleep.,我興奮得睡不著覺。
Don't scare me like that!,别这样吓我吧！
It was a heartbreaking story.,那是一個叫人心碎的故事。
"A small road ran across the bridge, through the fields, and over a hill.",一条小路跨过桥梁，穿过田野，还爬上小丘。
Look out for the wild dog!,小心那野狗！
Are you mad?,您生气了吗？
Are you mad?,你生气了吗？
Are you mad?,你生氣了嗎？
Are you mad?,你疯了吗？
Tom started the engine.,湯姆發動了引擎。
I'll go with you as far as the bridge.,我会跟着你走到桥那里。
The bridge is being repainted.,這座橋正被重新油漆。
The bridge is being repaired.,桥处于修理中。
The bridge will be completed by the end of this year.,大橋將在年底完工。
There is a cottage beyond the bridge.,桥对面有一间小屋。
The bridge crashed under the pressure.,桥在重压之下倒塌了。
"In culture, they are on the same plane as savages.",在教養上，他們可以說是和野蠻人差不多。
Teaching is a profession of my own choosing.,教书是我自己选择的职业。
My driving instructor says I should be more patient.,我的駕駛導師說我應該耐心一點。
My driving instructor says I should be more patient.,我的驾校老师说我应该更耐心一点。
My driving instructor says I should be more patient.,我的駕駛教練說我應該更有耐心一點。
The professor scolded John for skipping class.,教授罵了約翰一頓因為他翹了幾堂課。
The professor teaches English conversation.,教授他教英語會話。
It is the students' duty to clean their classrooms.,學生有清掃教室的責任。
Take off your hat when you enter a classroom.,进教室时请脱下帽子。
Take off your hat when you enter a classroom.,进教室的时候请把帽子摘了。
There were few students remaining in the classroom.,教室里没剩下几个学生了。
Do you eat it in the classroom?,您在教室裡吃它嗎？
Don't you talk in the classroom.,不要在課室內談話。
Teachers must understand children.,教師必須了解孩子。
Teachers should treat all their students impartially.,老师应该一视同仁地对待他们的学生。
I have been a teacher for 15 years.,我當老師已經15年了。
Patience is essential for a teacher.,耐心对一个教师来说是必需的。
You must not forget your schoolbooks.,千萬不要忘記帶教科書。
Education starts at home.,教育从家庭开始。
What is the ultimate purpose of education?,教育的最终目的到底是什么?
What is the ultimate purpose of education?,教育的最终目的是什么？
One of the great superstitions about education is that learning is the result of teaching.,很多人覺得有教才有學，但其實這個觀念是錯的。
More money for education will spur economic growth.,更多投資在教育的錢將會刺激經濟成長。
Teaching is learning.,教学相长。
Oh! Show it to me please.,哦！请给我看看。
Fear always springs from ignorance.,恐懼永遠都是由無知所造成的。
"Sorry, but can you show me the way to the next village?",能不能麻烦你告诉我去邻村怎么走？
I'm afraid you have to work overtime.,恐怕你要加班了。
"The victim of blackmail has been paying hush money for years, but now he realizes it is foolish, and has decided not to pay a red cent more.","被害人被勒索支付封口費已經很多年, 但現在他意識到這樣做是愚蠢的, 而且他已經決定再也不付一毛錢了。"
It's awfully cold today.,今天超級冷。
It's awfully cold this evening.,今晚天气冷死了。
Would you mind opening the window?,你介意打開窗戶嗎?
Don't be afraid.,不要害怕。
Don't be afraid.,別怕！
There's nothing to be afraid of.,没什么好怕的。
The strong wind indicates that a storm is coming.,強風暗示著即將到來的暴雨。
"Passing through the strong wind, the planes rock like this, but don't worry.",当飞机穿越强风时，它们会像这样摇晃，但是别担心。
The thieves knocked off another bank today in a daytime robbery.,今天强盗大白天的就抢了另一家银行。
The burglar was traced by one of the things he had left on the scene.,警方根據現場遺下的證物把賊子找了出來。
The burglar shut the child in the closet.,強盗把小孩關在了衣櫃裏。
A burglar broke into his house.,一個竊賊闖進了他的房子。
A strong wind is blowing and I can't walk fast.,"風很大, 所以我走不快。"
The sound of shouting grew faint.,叫聲漸漸地變弱了。
Communism is the system practiced in the Soviet Union.,共產主義是在蘇聯被實行的制度。
Kyoto is worth visiting.,京都值得游览。
Kyoto is not as large as Osaka.,京都不如大阪大。
Kyoto is famous for its shrines and temples.,京都以它的祭坛和寺院而闻名。
Kyoto is famous for its old temples.,京都以古廟有名。
Kyoto depends on the tourist industry.,京都依賴旅遊業。
Kyoto was the former capital of Japan.,京東市曾經是日本的首都。
Kyoto is visited by many tourists.,很多游客赴京都旅游。
Summers are very hot in Kyoto.,京都的夏天很热。
Kyoto has many universities.,京都有很多所大学。
There are many shrines in Kyoto.,京都有許多神社。
There are many old temples in Kyoto.,京都有許多古剎。
There are a lot of sights in Kyoto.,在京都，有很多的景点值得一看。
Kyoto has many places to see.,在京都，有很多的景点值得一看。
There are many sights to see in Kyoto.,在京都，有很多的景点值得一看。
Kyoko is lying on the grass.,恭子正躺在草地上。
Please hide the blueberry jam where Takako can't see it.,把蓝莓酱藏在享子看不到的地方。
I prefer staying home to going fishing.,比起出去钓鱼，我更想待在家里。
My hobbies are fishing and watching television.,我的興趣是釣魚和看電視。
Eating fish is good for your health.,吃鱼有益于你的健康。
"Fish, please.",鱼，谢谢。
Fish cannot live out of water.,魚離開水就無法生存。
I'll show you how to catch fish.,我会向你展示怎样捕鱼。
I got a fish bone stuck in my throat.,我被鱼骨刺到了喉咙。
